년,월,국적지역,입국자수
2018,1,가나,192
2018,2,가나,245
2018,3,가나,327
2018,4,가나,220
2018,5,가나,352
2018,6,가나,256
2018,7,가나,251
2018,8,가나,262
2018,9,가나,288
2018,10,가나,349
2018,11,가나,216
2018,12,가나,177
2018,1,가봉,11
2018,2,가봉,15
2018,3,가봉,12
2018,4,가봉,25
2018,5,가봉,27
2018,6,가봉,7
2018,7,가봉,15
2018,8,가봉,24
2018,9,가봉,13
2018,10,가봉,7
2018,11,가봉,4
2018,12,가봉,12
2018,1,가이아나,1
2018,2,가이아나,2
2018,3,가이아나,10
2018,4,가이아나,11
2018,5,가이아나,15
2018,6,가이아나,15
2018,7,가이아나,4
2018,8,가이아나,9
2018,9,가이아나,14
2018,10,가이아나,11
2018,11,가이아나,5
2018,12,가이아나,6
2018,1,감비아,11
2018,2,감비아,16
2018,3,감비아,17
2018,4,감비아,9
2018,5,감비아,37
2018,6,감비아,19
2018,7,감비아,21
2018,8,감비아,22
2018,9,감비아,22
2018,10,감비아,23
2018,11,감비아,7
2018,12,감비아,14
2018,1,과테말라,59
2018,2,과테말라,66
2018,3,과테말라,89
2018,4,과테말라,113
2018,5,과테말라,98
2018,6,과테말라,91
2018,7,과테말라,49
2018,8,과테말라,69
2018,9,과테말라,112
2018,10,과테말라,115
2018,11,과테말라,130
2018,12,과테말라,57
2018,1,교황청,0
2018,2,교황청,1
2018,3,교황청,0
2018,4,교황청,1
2018,5,교황청,1
2018,6,교황청,0
2018,7,교황청,2
2018,8,교황청,0
2018,9,교황청,3
2018,10,교황청,2
2018,11,교황청,0
2018,12,교황청,2
2018,1,국제연합,66
2018,2,국제연합,87
2018,3,국제연합,119
2018,4,국제연합,108
2018,5,국제연합,142
2018,6,국제연합,127
2018,7,국제연합,104
2018,8,국제연합,49
2018,9,국제연합,167
2018,10,국제연합,212
2018,11,국제연합,137
2018,12,국제연합,79
2018,1,그레나다,3
2018,2,그레나다,4
2018,3,그레나다,8
2018,4,그레나다,12
2018,5,그레나다,7
2018,6,그레나다,3
2018,7,그레나다,4
2018,8,그레나다,14
2018,9,그레나다,14
2018,10,그레나다,19
2018,11,그레나다,16
2018,12,그레나다,11
2018,1,그리스,719
2018,2,그리스,761
2018,3,그리스,909
2018,4,그리스,864
2018,5,그리스,777
2018,6,그리스,800
2018,7,그리스,710
2018,8,그리스,693
2018,9,그리스,800
2018,10,그리스,911
2018,11,그리스,781
2018,12,그리스,660
2018,1,기니,12
2018,2,기니,14
2018,3,기니,27
2018,4,기니,14
2018,5,기니,30
2018,6,기니,18
2018,7,기니,18
2018,8,기니,19
