년,월,국적지역,입국자수
2023,1,가나,80
2023,2,가나,90
2023,3,가나,126
2023,4,가나,134
2023,5,가나,144
2023,6,가나,116
2023,7,가나,172
2023,8,가나,179
2023,9,가나,194
2023,10,가나,222
2023,11,가나,119
2023,12,가나,106
2024,1,가나,102
2024,2,가나,101
2024,3,가나,157
2024,4,가나,154
2024,5,가나,148
2024,6,가나,223
2024,7,가나,285
2024,8,가나,213
2024,9,가나,331
2024,10,가나,233
2024,11,가나,244
2024,12,가나,111
2023,1,가봉,11
2023,2,가봉,7
2023,3,가봉,11
2023,4,가봉,17
2023,5,가봉,24
2023,6,가봉,17
2023,7,가봉,20
2023,8,가봉,18
2023,9,가봉,17
2023,10,가봉,8
2023,11,가봉,17
2023,12,가봉,7
2024,1,가봉,15
2024,2,가봉,17
2024,3,가봉,20
2024,4,가봉,20
2024,5,가봉,21
2024,6,가봉,19
2024,7,가봉,28
2024,8,가봉,36
2024,9,가봉,42
2024,10,가봉,17
2024,11,가봉,21
2024,12,가봉,16
2023,1,가이아나,2
2023,2,가이아나,9
2023,3,가이아나,6
2023,4,가이아나,5
2023,5,가이아나,10
2023,6,가이아나,9
2023,7,가이아나,21
2023,8,가이아나,13
2023,9,가이아나,13
2023,10,가이아나,32
2023,11,가이아나,25
2023,12,가이아나,1
2024,1,가이아나,11
2024,2,가이아나,8
2024,3,가이아나,26
2024,4,가이아나,40
2024,5,가이아나,26
2024,6,가이아나,31
2024,7,가이아나,16
2024,8,가이아나,36
2024,9,가이아나,32
2024,10,가이아나,35
2024,11,가이아나,9
2024,12,가이아나,7
2023,1,감비아,9
2023,2,감비아,9
2023,3,감비아,17
2023,4,감비아,14
2023,5,감비아,14
2023,6,감비아,10
2023,7,감비아,34
2023,8,감비아,8
2023,9,감비아,18
2023,10,감비아,16
2023,11,감비아,4
2023,12,감비아,4
2024,1,감비아,6
2024,2,감비아,6
2024,3,감비아,31
2024,4,감비아,31
2024,5,감비아,31
2024,6,감비아,31
2024,7,감비아,14
2024,8,감비아,27
2024,9,감비아,19
2024,10,감비아,21
2024,11,감비아,12
2024,12,감비아,12
2023,1,과테말라,43
2023,2,과테말라,52
2023,3,과테말라,65
2023,4,과테말라,61
2023,5,과테말라,110
2023,6,과테말라,111
2023,7,과테말라,93
2023,8,과테말라,114
2023,9,과테말라,93
2023,10,과테말라,172
2023,11,과테말라,150
2023,12,과테말라,75
2024,1,과테말라,68
2024,2,과테말라,68
2024,3,과테말라,128
2024,4,과테말라,179
2024,5,과테말라,145
2024,6,과테말라,185
2024,7,과테말라,145
2024,8,과테말라,134
2024,9,과테말라,173
2024,10,과테말라,256
2024,11,과테말라,178
2024,12,과테말라,89
2023,3,교황청,1
2023,4,교황청,4
2023,5,교황청,2
2023,6,교황청,3
2023,7,교황청,1
2023,9,교황청,1
2023,10,교황청,1
2023,11,교황청,4
2023,12,교황청,1
2024,1,교황청,2
2024,2,교황청,1
2024,3,교황청,2
2024,5,교황청,1
2024,7,교황청,1
2024,8,교황청,2
2024,9,교황청,1
2024,12,교황청,2
2023,1,그레나다,5
2023,2,그레나다,11
2023,3,그레나다,13
2023,4,그레나다,20
2023,5,그레나다,22
2023,6,그레나다,18
2023,7,그레나다,25
2023,8,그레나다,6
2023,9,그레나다,18
2023,10,그레나다,28
2023,11,그레나다,12
2023,12,그레나다,9
2024,1,그레나다,13
2024,2,그레나다,12
2024,3,그레나다,30
2024,4,그레나다,20
2024,5,그레나다,28
2024,6,그레나다,44
2024,7,그레나다,41
2024,8,그레나다,37
2024,9,그레나다,16
2024,10,그레나다,44
2024,11,그레나다,20
2024,12,그레나다,17
2023,1,그리스,494
2023,2,그리스,453
2023,3,그리스,677
2023,4,그리스,934
2023,5,그리스,586
2023,6,그리스,560
2023,7,그리스,642
2023,8,그리스,830
2023,9,그리스,536
2023,10,그리스,987
2023,11,그리스,782
2023,12,그리스,477
2024,1,그리스,595
2024,2,그리스,598
2024,3,그리스,1110
2024,4,그리스,1262
2024,5,그리스,1076
2024,6,그리스,781
2024,7,그리스,878
2024,8,그리스,1072
2024,9,그리스,946
2024,10,그리스,971
2024,11,그리스,1035
2024,12,그리스,630
2023,1,기니,8
2023,2,기니,12
2023,3,기니,18
2023,4,기니,6
2023,5,기니,11
2023,6,기니,9
2023,7,기니,27
2023,8,기니,13
2023,9,기니,23
2023,10,기니,10
2023,11,기니,12
2023,12,기니,8
2024,1,기니,13
2024,2,기니,18
2024,3,기니,6
2024,4,기니,6
2024,5,기니,15
2024,6,기니,9
2024,7,기니,29
2024,8,기니,17
2024,9,기니,15
2024,10,기니,10
2024,11,기니,13
2024,12,기니,9
2023,2,기니비사우,2
2023,3,기니비사우,2
2023,5,기니비사우,1
2023,7,기니비사우,5
2023,8,기니비사우,14
2023,9,기니비사우,1
2023,11,기니비사우,3
2023,12,기니비사우,2
2024,1,기니비사우,3
2024,2,기니비사우,2
2024,4,기니비사우,2
2024,5,기니비사우,5
2024,6,기니비사우,18
2024,8,기니비사우,2
2024,9,기니비사우,2
2024,10,기니비사우,2
2024,11,기니비사우,5
2023,1,기타,69
2023,2,기타,81
2023,3,기타,115
2023,4,기타,104
2023,5,기타,177
2023,6,기타,264
2023,7,기타,102
2023,8,기타,119
2023,9,기타,116
2023,10,기타,179
2023,11,기타,194
2023,12,기타,80
2024,1,기타,68
2024,2,기타,90
2024,3,기타,89
2024,5,기타,153
2024,6,기타,113
2024,7,기타,106
2024,8,기타,87
2024,9,기타,146
2024,10,기타,169
2024,11,기타,287
2024,12,기타,147
2023,1,나미비아,1
2023,3,나미비아,10
2023,4,나미비아,11
2023,5,나미비아,12
2023,6,나미비아,9
2023,7,나미비아,46
2023,8,나미비아,4
2023,9,나미비아,18
2023,10,나미비아,22
2023,11,나미비아,16
2023,12,나미비아,2
2024,1,나미비아,3
2024,2,나미비아,2
2024,3,나미비아,7
2024,4,나미비아,28
2024,5,나미비아,11
2024,6,나미비아,22
2024,7,나미비아,12
2024,8,나미비아,9
2024,9,나미비아,21
2024,10,나미비아,15
2024,11,나미비아,14
2024,12,나미비아,3
2023,3,나우루,3
2023,5,나우루,22
2023,6,나우루,3
2023,8,나우루,3
2023,9,나우루,8
2023,10,나우루,7
2023,11,나우루,6
2023,12,나우루,3
2024,1,나우루,6
2024,2,나우루,9
2024,5,나우루,1
2024,6,나우루,8
2024,7,나우루,13
2024,8,나우루,3
2024,10,나우루,11
2024,11,나우루,5
2024,12,나우루,2
2023,1,나이지리아,138
2023,2,나이지리아,149
2023,3,나이지리아,171
2023,4,나이지리아,159
2023,5,나이지리아,165
2023,6,나이지리아,154
2023,7,나이지리아,229
2023,8,나이지리아,244
2023,9,나이지리아,173
2023,10,나이지리아,185
2023,11,나이지리아,133
2023,12,나이지리아,120
