년,월,국적지역,입국자수,날짜,방문년월,계절
2022,1,그리스,390,2022-01-01,2022-01,겨울
2022,2,그리스,307,2022-02-01,2022-02,겨울
2022,3,그리스,418,2022-03-01,2022-03,봄
2022,4,그리스,292,2022-04-01,2022-04,봄
2022,5,그리스,425,2022-05-01,2022-05,봄
2022,6,그리스,410,2022-06-01,2022-06,여름
2022,7,그리스,607,2022-07-01,2022-07,여름
2022,8,그리스,596,2022-08-01,2022-08,여름
2022,9,그리스,460,2022-09-01,2022-09,가을
2022,10,그리스,588,2022-10-01,2022-10,가을
2022,11,그리스,565,2022-11-01,2022-11,가을
2022,12,그리스,584,2022-12-01,2022-12,겨울
2023,1,그리스,494,2023-01-01,2023-01,겨울
2023,2,그리스,453,2023-02-01,2023-02,겨울
2023,3,그리스,677,2023-03-01,2023-03,봄
2023,4,그리스,934,2023-04-01,2023-04,봄
2023,5,그리스,586,2023-05-01,2023-05,봄
2023,6,그리스,560,2023-06-01,2023-06,여름
2023,7,그리스,642,2023-07-01,2023-07,여름
2023,8,그리스,830,2023-08-01,2023-08,여름
2023,9,그리스,536,2023-09-01,2023-09,가을
2023,10,그리스,987,2023-10-01,2023-10,가을
2023,11,그리스,782,2023-11-01,2023-11,가을
2023,12,그리스,477,2023-12-01,2023-12,겨울
2024,1,그리스,595,2024-01-01,2024-01,겨울
2024,2,그리스,598,2024-02-01,2024-02,겨울
2024,3,그리스,1110,2024-03-01,2024-03,봄
2024,4,그리스,1262,2024-04-01,2024-04,봄
2024,5,그리스,1076,2024-05-01,2024-05,봄
2024,6,그리스,781,2024-06-01,2024-06,여름
2024,7,그리스,878,2024-07-01,2024-07,여름
2024,8,그리스,1072,2024-08-01,2024-08,여름
2024,9,그리스,946,2024-09-01,2024-09,가을
2024,10,그리스,971,2024-10-01,2024-10,가을
2024,11,그리스,1035,2024-11-01,2024-11,가을
2024,12,그리스,630,2024-12-01,2024-12,겨울
2022,1,나이지리아,35,2022-01-01,2022-01,겨울
2022,2,나이지리아,86,2022-02-01,2022-02,겨울
2022,3,나이지리아,84,2022-03-01,2022-03,봄
2022,4,나이지리아,53,2022-04-01,2022-04,봄
2022,5,나이지리아,194,2022-05-01,2022-05,봄
2022,6,나이지리아,94,2022-06-01,2022-06,여름
2022,7,나이지리아,103,2022-07-01,2022-07,여름
2022,8,나이지리아,207,2022-08-01,2022-08,여름
2022,9,나이지리아,260,2022-09-01,2022-09,가을
2022,10,나이지리아,378,2022-10-01,2022-10,가을
2022,11,나이지리아,118,2022-11-01,2022-11,가을
2022,12,나이지리아,135,2022-12-01,2022-12,겨울
2023,1,나이지리아,138,2023-01-01,2023-01,겨울
2023,2,나이지리아,149,2023-02-01,2023-02,겨울
2023,3,나이지리아,171,2023-03-01,2023-03,봄
2023,4,나이지리아,159,2023-04-01,2023-04,봄
2023,5,나이지리아,165,2023-05-01,2023-05,봄
2023,6,나이지리아,154,2023-06-01,2023-06,여름
2023,7,나이지리아,229,2023-07-01,2023-07,여름
2023,8,나이지리아,244,2023-08-01,2023-08,여름
2023,9,나이지리아,173,2023-09-01,2023-09,가을
2023,10,나이지리아,185,2023-10-01,2023-10,가을
2023,11,나이지리아,133,2023-11-01,2023-11,가을
2023,12,나이지리아,120,2023-12-01,2023-12,겨울
