국적지역,년,월,입국자수
대만,2018,1,69550
대만,2018,2,79099
대만,2018,3,89247
대만,2018,4,99119
대만,2018,5,90267
대만,2018,6,111680
대만,2018,7,110945
대만,2018,8,110695
대만,2018,9,99044
대만,2018,10,110313
대만,2018,11,103303
대만,2018,12,99218
대만,2019,1,80717
대만,2019,2,80409
대만,2019,3,84545
대만,2019,4,101957
대만,2019,5,92482
대만,2019,6,115411
대만,2019,7,115407
대만,2019,8,110190
대만,2019,9,100797
대만,2019,10,111706
대만,2019,11,104971
대만,2019,12,96941
대만,2023,1,86707
대만,2023,2,86366
대만,2023,3,90800
대만,2023,4,109489
대만,2023,5,99304
대만,2023,6,123912
대만,2023,7,123895
대만,2023,8,118283
대만,2023,9,108190
대만,2023,10,119887
대만,2023,11,112648
대만,2023,12,104022
대만,2024,1,99015
대만,2024,2,87445
대만,2024,3,113323
대만,2024,4,108532
대만,2024,5,99507
대만,2024,6,120763
대만,2024,7,117993
대만,2024,8,128558
대만,2024,9,110387
대만,2024,10,124113
대만,2024,11,115408
대만,2024,12,119754
대만,2025,1,111720
대만,2025,2,88291
대만,2025,3,79826
대만,2025,4,115791
대만,2025,5,104072
대만,2025,6,131883
대만,2025,7,133221
대만,2025,8,116454
대만,2025,9,111729
대만,2025,10,122532
대만,2025,11,115948
대만,2025,12,98918
대만,2026,1,124809
대만,2026,2,88888
대만,2026,3,74037
대만,2026,4,119185
대만,2026,5,106578
대만,2026,6,135984
대만,2026,7,137880
대만,2026,8,115304
대만,2026,9,113511
대만,2026,10,123821
대만,2026,11,117589
대만,2026,12,96397
러시아,2018,1,22974
러시아,2018,2,21230
러시아,2018,3,27822
러시아,2018,4,33144
러시아,2018,5,29952
러시아,2018,6,28346
러시아,2018,7,30982
러시아,2018,8,28293
러시아,2018,9,28518
러시아,2018,10,32604
러시아,2018,11,25986
러시아,2018,12,24860
러시아,2019,1,21455
러시아,2019,2,18791
러시아,2019,3,25116
러시아,2019,4,30632
러시아,2019,5,28819
러시아,2019,6,27162
러시아,2019,7,27094
러시아,2019,8,25896
러시아,2019,9,26608
러시아,2019,10,29541
러시아,2019,11,24218
러시아,2019,12,23866
러시아,2023,1,14591
러시아,2023,2,12739
러시아,2023,3,16976
러시아,2023,4,20635
러시아,2023,5,19351
러시아,2023,6,18176
러시아,2023,7,18069
러시아,2023,8,17209
러시아,2023,9,17618
러시아,2023,10,19491
