년,월,국적지역,입국자수,날짜
2018,1,대만,78321,2018-01-01
2018,2,대만,90673,2018-02-01
2018,3,대만,96811,2018-03-01
2018,4,대만,107719,2018-04-01
2018,5,대만,91102,2018-05-01
2018,6,대만,105435,2018-06-01
2018,7,대만,100558,2018-07-01
2018,8,대만,103289,2018-08-01
2018,9,대만,90122,2018-09-01
2018,10,대만,102046,2018-10-01
2018,11,대만,90540,2018-11-01
2018,12,대만,89599,2018-12-01
2019,1,대만,90686,2019-01-01
2019,2,대만,96886,2019-02-01
2019,3,대만,101090,2019-03-01
2019,4,대만,115427,2019-04-01
2019,5,대만,104355,2019-05-01
2019,6,대만,121085,2019-06-01
2019,7,대만,116487,2019-07-01
2019,8,대만,112064,2019-08-01
2019,9,대만,105307,2019-09-01
2019,10,대만,130348,2019-10-01
2019,11,대만,104545,2019-11-01
2019,12,대만,92403,2019-12-01
2023,1,대만,51099,2023-01-01
2023,2,대만,49131,2023-02-01
2023,3,대만,64673,2023-03-01
2023,4,대만,78362,2023-04-01
2023,5,대만,68065,2023-05-01
2023,6,대만,98767,2023-06-01
2023,7,대만,105188,2023-07-01
2023,8,대만,100709,2023-08-01
2023,9,대만,93899,2023-09-01
2023,10,대만,98651,2023-10-01
2023,11,대만,118680,2023-11-01
2023,12,대만,116423,2023-12-01
2024,1,대만,117164,2024-01-01
2024,2,대만,98817,2024-02-01
2024,3,대만,117299,2024-03-01
2024,4,대만,119288,2024-04-01
2024,5,대만,118782,2024-05-01
2024,6,대만,145988,2024-06-01
2024,7,대만,144637,2024-07-01
2024,8,대만,150714,2024-08-01
2024,9,대만,128314,2024-09-01
2024,10,대만,135183,2024-10-01
2024,11,대만,121248,2024-11-01
2024,12,대만,120359,2024-12-01
2018,1,러시아,22420,2018-01-01
2018,2,러시아,21284,2018-02-01
2018,3,러시아,26152,2018-03-01
2018,4,러시아,31702,2018-04-01
2018,5,러시아,27117,2018-05-01
2018,6,러시아,27315,2018-06-01
2018,7,러시아,28744,2018-07-01
2018,8,러시아,23804,2018-08-01
2018,9,러시아,24112,2018-09-01
2018,10,러시아,28724,2018-10-01
