국적지역,MAPE(%),RMSE,MAE
대만,15.077249712496815,16479.70233123437,13661.328506028993
러시아,14.620119898157247,3111.773387931013,2817.2879618474276
말레이시아,10.8110937338041,3304.1110504151584,2701.130895473047
미국,4.823414463042884,5472.508212409236,4099.2534215036285
베트남,9.330856247912038,5096.2192211924275,4168.067907949128
싱가포르,4.18019769773703,1034.9573249229454,816.1137008306385
영국,11.504449698955476,1470.3631468908418,1290.1536500639484
오스트레일리아,7.328044101698978,1254.4263170203365,1036.5327386643878
인도네시아,10.269340165327778,2802.9449218569557,2246.2057219785297
일본,15.509911795524408,38168.11420449215,30846.805740095024
중국,52.39844338320364,106668.76137367089,92651.05727571716
캐나다,5.1447132824201685,1044.1129578314835,809.2913475760048
태국,5.757980855214331,2411.5843058292726,2009.56013636931
필리핀,14.813428224454315,6039.593397666355,5078.548503537205
홍콩,14.802444215194102,7324.241236876586,5895.758837386937
