국적지역,연도분기,입국자수
네덜란드,2025년 4분기 (겨울 12~2월),3909
네덜란드,2025년 4분기 (겨울 12~2월),4584
네덜란드,2025년 1분기 (봄 3~5월),6597
네덜란드,2025년 1분기 (봄 3~5월),5707
네덜란드,2025년 1분기 (봄 3~5월),5759
네덜란드,2025년 2분기 (여름 6~8월),6045
네덜란드,2025년 2분기 (여름 6~8월),8727
네덜란드,2025년 2분기 (여름 6~8월),6400
네덜란드,2025년 3분기 (가을 9~11월),6253
네덜란드,2025년 3분기 (가을 9~11월),6342
네덜란드,2025년 3분기 (가을 9~11월),6315
네덜란드,2025년 4분기 (겨울 12~2월),5785
네덜란드,2026년 4분기 (겨울 12~2월),4582
네덜란드,2026년 4분기 (겨울 12~2월),5403
네덜란드,2026년 1분기 (봄 3~5월),7775
네덜란드,2026년 1분기 (봄 3~5월),6173
네덜란드,2026년 1분기 (봄 3~5월),6363
네덜란드,2026년 2분기 (여름 6~8월),6994
네덜란드,2026년 2분기 (여름 6~8월),9808
네덜란드,2026년 2분기 (여름 6~8월),6890
네덜란드,2026년 3분기 (가을 9~11월),6840
네덜란드,2026년 3분기 (가을 9~11월),6809
네덜란드,2026년 3분기 (가을 9~11월),7083
네덜란드,2026년 4분기 (겨울 12~2월),6612
네팔,2025년 4분기 (겨울 12~2월),4350
네팔,2025년 4분기 (겨울 12~2월),3787
네팔,2025년 1분기 (봄 3~5월),2740
네팔,2025년 1분기 (봄 3~5월),2649
네팔,2025년 1분기 (봄 3~5월),4151
네팔,2025년 2분기 (여름 6~8월),5376
네팔,2025년 2분기 (여름 6~8월),4821
네팔,2025년 2분기 (여름 6~8월),4244
네팔,2025년 3분기 (가을 9~11월),3032
네팔,2025년 3분기 (가을 9~11월),3197
네팔,2025년 3분기 (가을 9~11월),3741
네팔,2025년 4분기 (겨울 12~2월),4282
네팔,2026년 4분기 (겨울 12~2월),5194
네팔,2026년 4분기 (겨울 12~2월),4181
네팔,2026년 1분기 (봄 3~5월),2702
네팔,2026년 1분기 (봄 3~5월),2840
네팔,2026년 1분기 (봄 3~5월),4633
네팔,2026년 2분기 (여름 6~8월),6082
네팔,2026년 2분기 (여름 6~8월),5363
네팔,2026년 2분기 (여름 6~8월),4370
네팔,2026년 3분기 (가을 9~11월),3130
네팔,2026년 3분기 (가을 9~11월),3505
네팔,2026년 3분기 (가을 9~11월),3985
