국적지역,봄,여름,가을,겨울
그리스,7507,8051,7687,6658
나이지리아,1025,1678,1364,1447
남아프리카공화국,11124,12755,11830,11354
네덜란드,42065,47566,43772,33398
네팔,20390,30945,21484,27121
노르웨이,9609,11148,9746,8031
뉴질랜드,31788,31306,36499,33695
대만,1319949,1202872,1285939,1137317
덴마크,12774,13245,14097,9714
독일,126208,125770,127089,99820
라오스,14946,16614,14494,16200
라트비아,1945,2234,2065,1997
러시아,167702,156225,163049,135976
루마니아,13479,12277,14110,10347
리투아니아,3722,3810,4037,3120
마카오,42660,40657,48261,38321
말레이시아,244497,237715,276358,265044
멕시코,45154,49122,55302,44091
모로코,3243,4183,3731,3184
몽골,103243,122024,120741,109256
미국,1039674,1002547,1056241,796179
미얀마,35144,44255,43198,35924
방글라데시,14230,17834,16904,15694
베트남,424980,468845,485312,406289
벨기에,15382,17536,16694,12493
불가리아,4458,4509,4529,3955
브라질,25331,28446,27106,24932
브루나이,5491,5201,5283,7610
사우디아라비아,22358,19207,21751,13375
스리랑카,16215,19912,20132,18958
스웨덴,15769,19737,16696,13901
스위스,21591,23663,21801,17048
스페인,39625,40966,44052,31230
슬로바키아,3944,4448,4413,3094
시리아,1310,2103,1603,1538
싱가포르,257287,210277,299801,254517
아랍에미리트연합,5488,7450,6508,5455
아르헨티나,6314,6064,6530,5364
아일랜드,10025,10900,10073,8752
에콰도르,2347,2871,2563,2139
에티오피아,6427,7374,7511,6973
영국,136168,133452,133817,110448
오스트레일리아,200468,190006,212052,196837
오스트리아,11796,13291,12529,9724
요르단,1565,1949,2156,1411
우즈베키스탄,24979,44390,37913,35410
우크라이나,14062,16087,15403,14149
유고슬라비아,5030,5078,5170,4037
이란,2807,2676,3850,2321
이스라엘,13773,11948,13101,8779
이집트,3519,4743,4344,3636
이탈리아,55403,55672,58171,42568
인도,137371,142356,149651,113465
인도네시아,266093,266978,279658,249105
일본,2944428,2926100,3241509,2655000
중국,4133724,4369862,4510109,3972187
체코공화국,7956,8608,7857,6865
총계,5533896,20755214,12759202,-2142021
칠레,4401,7386,5109,5451
카자흐스탄,30804,47648,38647,35290
캄보디아,31673,36958,34107,37884
캐나다,206337,181935,213087,156539
케냐,3804,4290,3754,2478
콜롬비아,8948,10412,9874,8284
쿠웨이트,3922,4056,4136,3068
크로아티아,4426,4558,4761,4035
키르기즈,6274,8537,8429,6467
타지키스탄,3783,4405,5020,3916
태국,289524,214003,282649,263876
튀니지,2649,2403,3069,2000
튀르키예,37237,37286,37304,29701
파키스탄,10702,12055,12637,11216
페루,5070,4802,5830,4147
포르투갈,11099,12004,12027,9740
폴란드,37785,38311,39632,30085
프랑스,136372,140656,140070,105701
핀란드,10734,11731,10791,10055
필리핀,366033,378967,404779,359889
헝가리,7281,7773,7050,5955
홍콩,555712,478416,577224,463101
