국적지역,봄,여름,가을,겨울,클러스터
그리스,6780,6376,6870,4528,1
나이지리아,1367,1635,2061,1208,1
남아프리카공화국,7918,10627,9374,7720,1
네덜란드,34153,38767,37652,20694,1
네팔,25367,31485,25671,24940,1
노르웨이,6897,9107,7667,4367,1
뉴질랜드,23135,21825,31246,23373,1
대만,568698,754357,731680,584412,3
덴마크,9437,10078,11847,4834,1
독일,108343,89826,110215,51387,2
라오스,12541,7497,9622,8054,1
라트비아,1733,1566,2017,1275,1
러시아,107640,120879,121491,83598,2
루마니아,10235,7983,10951,5098,1
리투아니아,2697,2344,3246,1333,1
마카오,13639,25778,17795,16287,1
말레이시아,160512,96868,215548,161572,2
멕시코,15771,23584,37359,13200,1
모로코,2677,3776,3706,2420,1
몽골,70065,99078,103757,86085,2
미국,811456,912403,925727,549018,3
미얀마,46920,54688,55320,43542,1
방글라데시,14062,17431,16515,14151,1
베트남,323437,368971,386221,261449,2
벨기에,11626,12957,14318,6123,1
불가리아,4488,3612,4272,2088,1
브라질,16891,16619,20812,11937,1
브루나이,3017,2954,3758,5774,1
사우디아라비아,10066,17241,15483,6809,1
스리랑카,14865,17159,18781,15081,1
스웨덴,11677,14897,14330,7288,1
스위스,15433,16190,17003,6464,1
스페인,22639,30833,31345,12723,1
슬로바키아,2442,2834,3003,1478,1
시리아,1526,1842,1859,1226,1
싱가포르,218269,155776,290034,226859,2
아랍에미리트연합,4684,6348,5756,4777,1
아르헨티나,4009,3225,4642,2326,1
아일랜드,7189,7207,7949,4096,1
에콰도르,1527,1745,2150,807,1
에티오피아,5470,6294,7126,5499,1
영국,96691,88708,98740,53042,2
오스트레일리아,128950,108920,158285,117347,2
오스트리아,9607,10262,10780,5189,1
요르단,1262,1892,2130,1126,1
우즈베키스탄,33107,50210,49687,36739,1
우크라이나,13230,13693,14862,11350,1
유고슬라비아,3916,2978,4180,1872,1
이라크,1283,1792,1919,1128,1
이란,2374,3095,3349,1633,1
이스라엘,10678,8538,12588,3289,1
이집트,3459,4615,5336,3438,1
이탈리아,33376,39912,39502,18352,1
인도,93179,101950,113304,61440,2
인도네시아,176824,163614,203635,155615,2
일본,1373027,1562813,1935675,1042366,4
중국,1643787,2229939,2061648,1411737,5
체코공화국,6022,6375,7016,3648,1
칠레,3891,4370,4798,2408,1
카자흐스탄,32161,47307,39650,25858,1
캄보디아,34163,27319,34174,31011,1
캐나다,147393,143911,169585,97640,2
케냐,2258,3136,3073,792,1
콜롬비아,5310,5648,7463,3086,1
쿠웨이트,1465,3107,2240,1328,1
크로아티아,3462,2976,3921,2322,1
키르기즈,5855,8389,8476,5230,1
타지키스탄,3506,4053,5234,3290,1
태국,256436,170909,242683,158250,2
튀니지,1915,2043,2455,1397,1
튀르키예,26094,28169,28010,15833,1
파키스탄,9437,11410,11817,9671,1
페루,3100,3304,4050,1980,1
포르투갈,7343,7637,8515,4158,1
폴란드,23131,22602,28049,11857,1
프랑스,100534,102467,109318,54945,2
핀란드,8370,8562,9318,6385,1
필리핀,283039,254946,336541,219148,2
헝가리,5698,5398,5961,3118,1
홍콩,229941,291230,275524,231485,2
