국  적,성별,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월
중      국,남,94655,117176,130297,116073,127814,125606,133674,160435,138521,160103,137672,136060
중      국,여,147471,153585,191452,183348,179613,196621,202946,249687,221996,244442,209948,227650
일      본,남,70594,70008,98511,89043,92023,93610,91647,112966,92160,108160,108911,95208
일      본,여,99982,100535,197936,126825,137192,143599,141056,206051,157675,184359,193027,165366
타  이  완,남,27225,33888,30616,34426,30143,34910,36740,36526,30388,32905,29550,30269
타  이  완,여,51096,56785,66195,73293,60959,70525,63818,66763,59734,69141,60990,59330
한국계 중국인,남,42432,54062,63635,46350,43730,40286,46791,52244,53295,49640,40268,37714
한국계 중국인,여,37888,42194,42234,39615,37887,35435,46674,42051,43575,42863,33686,31511
홍      콩,남,12595,21449,21798,21951,17747,20721,21250,23136,16594,19725,17157,22974
홍      콩,여,22189,29277,40672,44670,39678,45147,36592,39685,32267,40906,35902,35860
타      이,남,20016,19237,22893,25365,20594,17628,15104,13388,14660,22579,18433,22357
타      이,여,25477,24709,33375,40034,31866,23934,18851,15778,20196,37948,29156,32207
베  트  남,남,11232,15599,25298,26019,19214,24517,24231,20827,20381,26630,20741,17334
베  트  남,여,8281,15160,25560,30792,18944,27719,26385,20692,21622,32724,23264,16282
필  리  핀,남,22685,19600,26737,31114,29299,26928,22174,23899,24776,33020,27446,27489
필  리  핀,여,9388,8335,15300,18941,14448,11585,7868,7658,9544,19785,17664,15849
말레이시아,남,10557,11262,16064,17029,11406,12839,8547,9437,13022,16682,19248,25154
말레이시아,여,11595,11331,21826,24744,14052,14838,7199,9824,15636,24125,26500,30550
인도네시아,남,9869,8591,11231,15703,12948,13332,12333,10924,11316,14239,13576,14250
인도네시아,여,7257,6251,9048,12286,6210,9608,5847,4986,7048,10799,10673,11924
싱 가 포 르,남,5496,5157,9754,9243,8967,10576,6137,6065,7411,9983,12044,18753
싱 가 포 르,여,4195,3974,12467,11927,10837,12577,5422,5812,7977,11844,13979,21762
인      도,남,6697,6284,8286,9233,10265,9026,8842,9305,10200,11286,9015,7417
인      도,여,801,907,1173,1487,1459,1398,1189,1424,1311,1512,1338,1120
몽      골,남,5395,4499,5409,3721,3839,4011,4142,5076,5389,5341,4793,4084
몽      골,여,5826,4804,5592,4163,4265,5398,5380,6059,6245,5792,5034,4526
우즈베키스탄,남,4091,4301,6025,5588,5257,5090,5315,5969,6203,6824,5682,4337
우즈베키스탄,여,1759,1753,2009,2043,2130,2228,2214,2337,2430,2258,1949,1599
미  얀  마,남,5784,4894,5747,6339,6051,5575,5769,4912,5048,5548,4941,5185
미  얀  마,여,227,461,380,1063,464,378,568,381,494,570,396,342
카자흐스탄,남,2197,2909,2946,2596,2406,2269,2195,2291,2250,2457,1829,1590
카자흐스탄,여,1864,1892,2684,2330,2417,2585,2462,2532,2341,2510,1864,1688
마  카  오,남,959,1817,1259,1161,863,1062,1831,2274,881,1058,1069,2269
마  카  오,여,1976,3023,3180,2962,2279,2782,3726,4150,2154,2603,2976,4563
캄 보 디 아,남,1977,2003,1624,2847,3353,1988,1633,1553,1346,2281,1472,1731
캄 보 디 아,여,730,915,1017,1625,1411,986,1069,806,847,1173,1168,1225
터      키,남,1680,1577,2001,2570,2173,1957,2006,2142,1954,2039,1852,1666
터      키,여,279,349,482,798,462,573,706,1099,434,589,347,273
네      팔,남,1248,1400,2074,1896,2836,2093,2186,1649,1580,1641,1940,1985
네      팔,여,277,354,397,308,329,339,299,343,428,247,268,315
스 리 랑 카,남,1447,1107,1395,1323,1609,1794,1443,1487,1534,1649,947,990
스 리 랑 카,여,85,64,114,106,112,167,106,159,205,121,116,108
방글라데시,남,1157,1151,1414,1120,1084,1166,1224,1424,1471,1478,1164,1139
방글라데시,여,115,138,110,122,142,117,184,162,151,125,138,115
이 스 라 엘,남,652,553,977,1107,874,678,880,817,1076,1125,912,613
이 스 라 엘,여,180,188,564,802,444,240,319,429,900,682,344,287
파 키 스 탄,남,1114,1205,1395,1082,1070,1012,1104,1033,1286,1155,977,930
파 키 스 탄,여,152,219,183,145,168,174,196,214,152,152,116,102
라  오  스,남,394,549,555,685,414,555,537,467,463,766,599,604
라  오  스,여,234,393,438,756,344,628,536,363,332,752,512,518
사우디아라비아,남,526,418,468,616,426,747,1001,1067,586,663,480,442
사우디아라비아,여,236,151,191,260,163,661,840,931,254,224,159,258
아랍에미리트연합,남,395,364,874,484,290,374,703,659,468,592,572,623
아랍에미리트연합,여,228,163,983,420,175,300,703,617,241,427,434,601
키 르 기 즈,남,281,318,581,492,395,454,399,468,571,538,422,317
키 르 기 즈,여,190,228,222,201,197,273,296,292,315,302,228,201
이      란,남,506,465,532,581,584,478,524,448,439,389,193,174
이      란,여,57,105,255,99,156,125,206,183,153,114,54,53
브 루 나 이,남,139,134,237,139,62,108,84,100,131,176,213,532
브 루 나 이,여,164,180,348,185,96,171,103,206,203,229,325,628
타지키스탄,남,92,137,252,220,195,198,221,219,252,337,297,211
타지키스탄,여,15,33,23,23,29,22,35,33,33,33,21,24
이  라  크,남,205,180,220,222,217,184,214,197,225,276,202,142
이  라  크,여,31,31,59,24,25,40,40,38,47,21,24,19
쿠 웨 이 트,남,82,59,184,159,74,144,183,218,156,144,122,118
쿠 웨 이 트,여,117,15,86,149,33,112,125,238,61,61,57,67
요  르  단,남,170,162,208,236,200,147,215,169,219,275,258,154
요  르  단,여,9,20,22,27,18,22,44,44,34,41,25,15
카  타  르,남,89,49,61,102,36,69,139,220,48,96,46,81
카  타  르,여,70,23,50,108,18,75,148,188,17,72,26,112
시  리  아,남,105,77,124,140,86,111,136,84,170,121,94,113
시  리  아,여,5,14,28,7,10,27,28,24,18,27,13,17
예멘공화국,남,41,40,50,120,441,30,41,36,46,47,47,35
예멘공화국,여,16,16,13,15,35,12,13,17,14,9,4,11
오      만,남,73,45,75,113,40,52,83,71,105,79,45,46
오      만,여,15,12,25,17,20,26,65,66,15,17,14,18
티모르 민주공화국,남,120,88,81,43,51,112,72,103,68,105,42,56
티모르 민주공화국,여,12,8,16,4,10,5,7,23,10,11,9,6
레  바  논,남,66,71,68,74,67,66,59,72,69,86,97,62
레  바  논,여,10,14,10,26,13,19,14,16,15,26,11,5
키 프 로 스,남,63,48,54,79,66,43,49,76,66,64,62,40
키 프 로 스,여,13,12,14,25,13,14,20,29,17,13,13,5
바  레  인,남,41,19,31,58,37,65,49,40,32,47,50,40
바  레  인,여,5,10,14,28,13,33,23,56,29,22,14,10
아프가니스탄,남,28,46,53,48,54,30,55,56,59,74,77,45
아프가니스탄,여,2,2,8,7,4,6,5,28,22,12,10,7
부      탄,남,9,16,31,33,26,46,19,26,45,49,40,14
