대륙,국적,성별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
아시아주,중국,남자,125465 ,150763 ,157431 ,158890 ,168766 ,152113 ,163347 ,192156 ,167193 ,180859 ,163172 ,173564 
아시아주,중국,여자,201970 ,225369 ,259554 ,273646 ,273243 ,269577 ,287103 ,320872 ,302307 ,322030 ,288014 ,302763 
아시아주,일본,남자,77902 ,73575 ,109126 ,109894 ,107265 ,101322 ,98731 ,117186 ,93174 ,89479 ,91581 ,91961 
아시아주,일본,여자,132193 ,142106 ,268130 ,182281 ,181205 ,183363 ,178567 ,217082 ,160570 ,161575 ,169134 ,165686 
아시아주,타이완(대만),남자,33261 ,36312 ,32197 ,37784 ,35175 ,40028 ,42331 ,39986 ,35440 ,40840 ,32918 ,30912 
아시아주,타이완(대만),여자,57425 ,60574 ,68893 ,77643 ,69180 ,81057 ,74156 ,72078 ,69867 ,89508 ,71627 ,61491 
아시아주,한국계중국인,남자,42919 ,62302 ,53753 ,42931 ,41445 ,37725 ,44164 ,51581 ,53694 ,45742 ,39124 ,26839 
아시아주,한국계중국인,여자,41586 ,43065 ,39588 ,37184 ,36724 ,34765 ,45869 ,42130 ,43142 ,40426 ,33817 ,23804 
아시아주,홍콩,남자,12966 ,21470 ,14794 ,26297 ,17845 ,18912 ,21362 ,24306 ,14972 ,20445 ,18276 ,26744 
아시아주,홍콩,여자,22516 ,29359 ,30688 ,48986 ,38460 ,42076 ,37097 ,41036 ,30147 ,43853 ,39180 ,43782 
아시아주,베트남,남자,13042 ,27338 ,29707 ,33359 ,25733 ,30018 ,27713 ,24885 ,24367 ,30319 ,22310 ,17419 
아시아주,베트남,여자,10484 ,25330 ,29355 ,35824 ,23593 ,33211 ,29761 ,24395 ,24992 ,39042 ,24931 ,17512 
아시아주,타이(태국),남자,17634 ,17223 ,21695 ,26483 ,20224 ,15861 ,16073 ,15404 ,15615 ,24744 ,19870 ,22667 
아시아주,타이(태국),여자,24383 ,22627 ,32127 ,44095 ,33173 ,22487 ,21927 ,18203 ,21179 ,41876 ,30849 ,33772 
아시아주,필리핀,남자,23307 ,21556 ,26924 ,40197 ,34129 ,28177 ,22082 ,34813 ,25963 ,32610 ,26121 ,27976 
